x,y
-10.0,-91.87252835939051
-9.899497487437186,-77.06695778248128
-9.798994974874372,-81.1090957524564
-9.698492462311558,-73.99630282538892
-9.597989949748744,-74.6045317505824
-9.49748743718593,-80.93362589718707
-9.396984924623116,-77.08891574660204
-9.296482412060302,-79.69477955514928
-9.195979899497488,-70.17464825812664
-9.095477386934672,-63.93935620669107
-8.99497487437186,-63.70827501104095
-8.894472361809045,-73.0642630146433
-8.793969849246231,-76.6025825582518
-8.693467336683417,-67.60643730718706
-8.592964824120603,-77.73777177953937
-8.492462311557789,-68.37246585982234
-8.391959798994975,-61.03963577128698
-8.291457286432161,-63.0983450438413
-8.190954773869347,-59.2350710010565
-8.090452261306533,-62.215269058753435
-7.989949748743719,-58.02363518240868
-7.889447236180905,-69.74122852689527
-7.788944723618091,-60.950347929278465
-7.688442211055277,-61.17645941160818
-7.5879396984924625,-61.19559898559818
-7.487437185929648,-62.0237332579823
-7.386934673366834,-49.95097495191801
-7.28643216080402,-53.24095523058797
-7.185929648241206,-58.68236004996446
-7.085427135678392,-59.10506197833192
-6.984924623115578,-56.10746832411558
-6.884422110552764,-53.52676126421744
-6.78391959798995,-51.63052578151752
-6.683417085427136,-45.489725204525485
-6.582914572864322,-38.09660495600465
-6.482412060301508,-54.22543501103862
-6.381909547738694,-45.00452727429892
-6.28140703517588,-42.85991658947594
-6.180904522613066,-49.203853854313294
-6.080402010050252,-33.53303886591456
-5.979899497487437,-33.47645737021028
-5.879396984924623,-34.83680415327372
-5.7788944723618085,-29.97393734932976
-5.6783919597989945,-32.961856775812684
-5.57788944723618,-33.14546004341164
-5.477386934673366,-29.32129144220273
-5.376884422110552,-31.731266882172452
-5.276381909547738,-29.695306382303148
-5.175879396984924,-38.23961667348706
-5.07537688442211,-28.973365155640817
-4.974874371859296,-21.036736644127096
-4.874371859296482,-24.84854966659511
-4.773869346733668,-36.64710217874418
-4.673366834170854,-28.599849208685796
-4.57286432160804,-30.970220659020367
-4.472361809045226,-20.460745573659754
